time,count
1049,2570
1050,2811
1051,2538
1052,2645
1053,2535
1054,2544
1055,2713
1056,2537
1057,2536
1058,2553
1059,2529
1100,2766
1101,2572
1102,2482
1103,2648
1104,2544
1105,2794
1106,2690
1107,2706
1108,2690
1109,2680
1110,2908
1111,2801
1112,2829
1113,2901
1114,2814
1115,3177
1116,3069
1117,3115
1118,3061
1119,3244
1120,3271
1121,3288
1122,3391
1123,3294
1124,3224
1125,3504
1126,3433
1127,3519
1128,3392
1129,3509
1130,3694
1131,3537
1132,3611
1133,3462
1134,3598
1135,4050
1136,3695
1137,3770
1138,3640
1139,3693
1140,3875
1141,3710
1142,3641
1143,3705
1144,3594
1145,3888
1146,3783
1147,3649
1148,3692
1149,3624
1150,3864
1151,3657
1152,3629
1153,3710
1154,3558
1155,3857
1156,3612
1157,3577
1158,3613
1159,3560
1200,3656
1201,3655
1202,3632
1203,3654
1204,3661
1205,3689
1206,3686
1207,3847
1208,3678
1209,3610
1210,3902
1211,3614
1212,3542
1213,3521
1214,3672
1215,3763
1216,3693
1217,3764
1218,3567
1219,3710
1220,3888
1221,3658
1222,3683
1223,3714
1224,3598
1225,3727
1226,3658
1227,3529
1228,3639
1229,3536
1230,3897
1231,3628
1232,3640
1233,3597
1234,3606
1235,3776
1236,3727
1237,3685
1238,3741
1239,3592
1240,3796
1241,3659
1242,3641
1243,3675
1244,3649
1245,3655
1246,3775
1247,3636
1248,3600
1249,3487
1250,3613
1251,3477
1252,3467
1253,3478
1254,3404
1255,3611
1256,3394
1257,3479
1258,3562
1259,3361
1300,3740
1301,3532
1302,3450
1303,3521
1304,3559
1305,3981
1306,3644
1307,3883
1308,3667
1309,3708
1310,4005
1311,3670
1312,3803
1313,3641
1314,3775
1315,3814
1316,3728
1317,3695
1318,3639
1319,3493
1320,3826
1321,3662
1322,3599
1323,3585
1324,3634
1325,3694
1326,3565
1327,3446
1328,3520
1329,3427
1330,3682
1331,3593
1332,3429
1333,3388
1334,3414
1335,3555
1336,3388
1337,3451
1338,3340
1339,3303
1340,3449
1341,3365
1342,3253
1343,3279
1344,3229
1345,3304
1346,3114
1347,3242
1348,3042
1349,2987
1350,3209
1351,2978
1352,2926
1353,2866
1354,2816
1355,2949
1356,2765
1357,2769
1358,2684
1359,2705
1400,3004
1401,2742
1402,2729
1403,2742
1404,2615
1405,2708
1406,2672
1407,2546
1408,2544
1409,2535
1410,2602
1411,2521
1412,2464
1413,2449
1414,2490
1415,2581
1416,2482
1417,2417
1418,2389
1419,2408
